,Goodreads_ID,ISBN,Title,Author,Imprint,Publisher_Group,Volume,Value,RRP,ASP,Binding,Publ_Date,Product_Class,book_series,num_pages,num_goodreads_ratings,average_goodreads_ratings,num_goodreads_reviews
13,1618.The_Curious_Incident_of_the_Dog_in_the_Night_Time,9.7801E+12,"Curious Incident of the Dog in the Night-time,The","Haddon, Mark",Vintage,Random House Grp,"1,868,969","$13,663,404.11 ",$10.71 ,$7.24 ,Paperback,4/1/04,F1.1  General & Literary Fiction,nan,226,1324498,3.89,48431
9,976.Deception_Point,9.78055E+12,Deception Point,"Brown, Dan",Corgi Books,Transworld Grp,"2,018,264","$13,463,242.49 ",$10.71 ,$6.63 ,Paperback,5/1/04,"F2.1  Crime, Thriller & Adventure",nan,556,630958,3.73,10117
76,18723.Brick_Lane,9.78055E+12,Brick Lane,"Ali, Monica",Black Swan,Transworld Grp,"659,023","$5,604,021.53 ",$10.71 ,$8.51 ,Paperback,5/1/04,F1.1  General & Literary Fiction,nan,432,29900,3.43,1968
17,18619684-the-time-traveler-s-wife,9.7801E+12,"Time Traveler's Wife,The","Niffenegger, Audrey",Vintage,Random House Grp,"1,496,081","$11,024,351.27 ",$10.71 ,$7.37 ,Paperback,5/29/04,F1.1  General & Literary Fiction,nan,500,1669978,3.98,49200
21,21.A_Short_History_of_Nearly_Everything,9.78055E+12,"Short History of Nearly Everything,A","Bryson, Bill",Black Swan,Transworld Grp,"1,334,635","$13,281,690.40 ",$13.39 ,$9.96 ,Paperback,6/1/04,T8.0  Popular Science,nan,544,342162,4.2,13930
16,77203.The_Kite_Runner,9.78075E+12,"Kite Runner,The","Hosseini, Khaled",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,551,953","$12,484,846.68 ",$10.71 ,$8.15 ,Paperback,6/7/04,F1.1  General & Literary Fiction,nan,371,2725235,4.32,82901
26,537736.You_Are_What_You_Eat,9.78072E+12,You are What You Eat:The Plan That Will Change Your Life,"McKeith, Gillian",Michael Joseph,Penguin Grp,"1,103,619","$15,767,626.19 ",$20.09 ,$14.28 ,Paperback,6/17/04,T9.4  Fitness & Diet,nan,223,1579,3.82,161
74,1010400.I_Can_Make_You_Thin,9.78059E+12,I Can Make You Thin,"McKenna, Paul",Bantam Press,Transworld Grp,"665,923","$6,876,676.90 ",$14.73 ,$10.33 ,Paperback,1/17/05,T9.4  Fitness & Diet,nan,144,1874,3.64,232
18,300118.The_World_According_to_Clarkson,9.78014E+12,"World According to Clarkson,The","Clarkson, Jeremy",Penguin Books,Penguin Grp,"1,447,188","$10,054,275.62 ",$10.71 ,$6.94 ,Paperback,5/26/05,T13.0  Humour: Collections & General,The World According to Clarkson,327,5788,3.69,302
71,1.Harry_Potter_and_the_Half_Blood_Prince,9.78075E+12,Harry Potter and the Half-blood Prince,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"680,886","$8,719,374.10 ",$22.77 ,$12.81 ,Hardback,7/16/05,F2.2  Science Fiction & Fantasy,Harry Potter,652,2792364,4.57,46407
46,1110.The_Broker,9.7801E+12,"Broker,The","Grisham, John",Arrow Books,Random House Grp,"869,077","$5,650,696.61 ",$10.71 ,$6.50 ,Paperback,8/27/05,"F2.1  Crime, Thriller & Adventure",nan,422,87660,3.8,3167
51,8930.Jamie_s_Italy,9.78072E+12,Jamie's Italy,"Oliver, Jamie",Michael Joseph,Penguin Grp,"833,060","$12,569,013.66 ",$33.50 ,$15.09 ,Hardback,10/3/05,T16.1  National & Regional Cuisine,nan,320,8211,4.01,103
